Time,day,hour,PTotal,temp,precipitation,wind_speed,wind_dir,rel_humidity,class(fcm),,
2/1/2019 12:00,2/1/2019,12:00,75.93554688,18.4,0,3.1,338,65,3,training,2
2/1/2019 13:00,2/1/2019,13:00,98.63671875,18.8,0,4.1,341,63,3,training,2
2/1/2019 14:00,2/1/2019,14:00,72.70898438,18.9,0,3.9,351,63,3,training,2
2/1/2019 15:00,2/1/2019,15:00,47.55957031,18.9,0,3.1,342,63,3,training,2
2/1/2019 16:00,2/1/2019,16:00,17.7109375,19.5,0,1.5,340,63,3,training,2
2/1/2019 17:00,2/1/2019,17:00,1.359375,18.7,0,1.9,316,66,3,training,2
2/2/2019 6:00,2/2/2019,6:00,0.549804688,14.2,0,1.1,335,96,3,testing,1
2/2/2019 7:00,2/2/2019,7:00,20.98339844,13.8,0,0.9,76,97,3,testing,1
2/2/2019 8:00,2/2/2019,8:00,55.16113281,15.5,0,1.5,354,86,3,testing,1
2/2/2019 9:00,2/2/2019,9:00,90.74609375,17.6,0,1.6,329,77,3,testing,1
2/2/2019 10:00,2/2/2019,10:00,116.7441406,20.1,0,0.4,343,66,3,testing,1
2/2/2019 11:00,2/2/2019,11:00,112.0195313,21.9,0,0.8,297,61,3,testing,1
2/2/2019 12:00,2/2/2019,12:00,118.2314453,23,0,1.2,301,59,3,testing,1
2/2/2019 13:00,2/2/2019,13:00,88.85351563,24,0,1.4,249,57,3,testing,1
2/2/2019 14:00,2/2/2019,14:00,80.75585938,24.9,0,1.2,256,57,3,testing,1
2/2/2019 15:00,2/2/2019,15:00,48.21679688,22.3,0,3.3,324,74,3,testing,1
2/2/2019 16:00,2/2/2019,16:00,27.23242188,21.7,0,2.3,326,76,3,testing,1
2/2/2019 17:00,2/2/2019,17:00,6.770507813,21.1,0,2,310,79,3,testing,1
2/3/2019 6:00,2/3/2019,6:00,0.458007813,16.2,0,1.2,88,98,2,training,2
2/3/2019 7:00,2/3/2019,7:00,21.8828125,16.9,0,1.6,97,95,2,training,2
2/3/2019 8:00,2/3/2019,8:00,61.03710938,18.7,0,1.4,86,87,2,training,2
2/3/2019 9:00,2/3/2019,9:00,96.53417969,23.5,0,0.2,0,63,2,training,2
2/3/2019 10:00,2/3/2019,10:00,120.4667969,25.6,0,1.8,281,53,2,training,2
2/3/2019 11:00,2/3/2019,11:00,132.8847656,26.5,0,2,317,52,2,training,2
2/3/2019 12:00,2/3/2019,12:00,136.3691406,28.1,0,2.6,248,50,2,training,2
2/3/2019 13:00,2/3/2019,13:00,126.3183594,30.6,0,4.4,217,40,2,training,2
2/3/2019 14:00,2/3/2019,14:00,40.22070313,28.6,0,4.4,289,56,2,training,2
2/3/2019 15:00,2/3/2019,15:00,11.95117188,24.9,0,3.4,307,77,2,training,2
2/3/2019 16:00,2/3/2019,16:00,1.568359375,24,0,2.6,325,87,2,training,2
2/3/2019 17:00,2/3/2019,17:00,0.603515625,23.2,0,0.7,349,92,2,training,2
