id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
80,2,217.15,216.14,216.95,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.247,6.4,27.52,12016,1.28,5/9/2017 22:45
81,3,108.47,108.05,108.4,42,40,36,0.6,1,1,4.4,4.2,3.8,-4.4,-4,-3.6,60,-0.236,3,12.6,2204,0.6,5/9/2017 22:45
82,1,217.71,216.78,217.65,60,60,65,4.5,5,9,13,12.5,14,-12,-11.5,-10.5,60,-0.48,19,39.5,8426.5,6.5,5/9/2017 23:00
83,2,217.91,217,217.78,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,9.6,-8.96,-8.32,-8.96,60,-0.253,7.04,27.52,12018.6,2.56,5/9/2017 23:00
84,3,109.03,108.54,108.93,42,38,36,0.6,1.2,1,4.4,4,4,-4.4,-3.8,-3.8,60,-0.252,3.2,12.8,2205.2,1.2,5/9/2017 23:00
85,1,218.54,217.64,218.51,60,60,65,4,5.5,8.5,13,13,13.5,-12.5,-11.5,-10.5,60,-0.468,18.5,40,8429.5,3,5/9/2017 23:15
86,2,218.34,217.44,218.38,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,12019.8,1.28,5/9/2017 23:15
87,3,109.24,108.81,109.34,42,38,36,0.6,1.2,0.6,4.6,4,4,-4.4,-3.8,-3.8,60,-0.224,2.8,12.8,2205.6,0.4,5/9/2017 23:15
88,1,219.79,218.88,219.88,60,60,55,4.5,5,5.5,13,13,12,-12.5,-11.5,-10.5,60,-0.405,15.5,38.5,8434.5,5,5/9/2017 23:30
89,2,219.72,218.76,219.78,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,12021.8,1.92,5/9/2017 23:30
90,3,110.14,109.63,110.16,42,40,38,0.6,1.2,1,4.6,4.4,4,-4.4,-4.2,-4,60,-0.236,3,13.2,2206.6,1,5/9/2017 23:30
91,1,220.27,219.19,220.11,60,60,55,4.5,5.5,5,13.5,13,12,-12.5,-11.5,-10.5,60,-0.4,15.5,38.5,8437,2.5,5/9/2017 23:45
92,2,220.07,218.84,219.94,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.26,7.04,27.52,12023,1.28,5/9/2017 23:45
93,3,110.21,109.7,110.21,42,40,36,0.6,1.2,0.6,4.6,4.4,4,-4.4,-4.2,-4,60,-0.215,2.8,13,2207.2,0.6,5/9/2017 23:45
94,1,220.71,219.71,220.72,60,60,60,5.5,5.5,7,13.5,13,13,-12.5,-11.5,-11,60,-0.451,18,40,8442.5,5.5,5/10/2017 0:00
95,2,220.55,219.44,220.49,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.32,-8.32,-8.96,60,-0.252,6.4,26.88,12025.6,2.56,5/10/2017 0:00
96,3,110.34,109.82,110.32,42,40,38,0.6,1,0.4,4.6,4.2,4,-4.6,-4.2,-4,60,-0.185,2.4,13.2,2208.2,1,5/10/2017 0:00
97,1,221.05,219.95,221.05,60,60,60,5,5.5,6.5,14,13.5,13,-13,-12,-11.5,60,-0.431,17.5,41,8445.5,3,5/10/2017 0:15
98,2,221.08,219.92,221.06,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.263,7.04,27.52,12026.9,1.28,5/10/2017 0:15
99,3,110.58,110.05,110.65,42,40,36,0.8,1,0.6,4.6,4.2,4,-4.6,-4.2,-4,60,-0.199,2.6,13.2,2208.6,0.4,5/10/2017 0:15
100,1,220.59,219.25,220.47,60,60,60,5,5,6.5,13.5,13,13,-12.5,-12,-11,60,-0.427,17,40.5,8451,5.5,5/10/2017 0:30
101,2,220.68,219.24,220.55,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,12029.4,2.56,5/10/2017 0:30
102,3,110.36,109.74,110.41,42,40,38,0.8,1,0.4,4.4,4.2,4,-4.4,-4.2,-4,60,-0.211,2.6,13,2209.6,1,5/10/2017 0:30
103,1,220.39,219.12,220.23,60,60,60,5.5,5,7,14,13,13,-12.5,-12,-11,60,-0.444,18,40.5,8454,3,5/10/2017 0:45
104,2,220.27,219.07,220.3,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,12030.7,1.28,5/10/2017 0:45
105,3,110.16,109.51,110.08,42,40,36,0.8,1,0.6,4.6,4.2,4,-4.4,-4.2,-4,60,-0.215,2.8,13,2210.2,0.6,5/10/2017 0:45
106,1,222.09,220.8,221.99,60,60,55,3,3,4,14,13,12.5,-13.5,-12.5,-11.5,60,-0.275,10.5,39.5,8459.5,5.5,5/10/2017 1:00
107,2,222.06,220.74,221.99,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.27,7.04,27.52,12032.6,1.92,5/10/2017 1:00
108,3,111.1,110.48,111.14,42,40,36,0.6,1,0.8,4.8,4.2,4,-4.6,-4.2,-3.8,60,-0.203,2.6,13.2,2211,0.8,5/10/2017 1:00
109,1,221.13,219.81,221.01,60,60,55,4,4,4.5,13.5,13,12.5,-13,-12,-11.5,60,-0.333,13,39.5,8461.5,2,5/10/2017 1:15
110,2,221.26,219.87,220.98,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,12033.9,1.28,5/10/2017 1:15
111,3,110.56,109.9,110.5,42,40,36,0.8,1,0.6,4.6,4.2,4,-4.6,-4.2,-4,60,-0.196,2.4,13,2211.6,0.6,5/10/2017 1:15
112,1,221.33,219.88,220.99,60,55,55,3,3,4,14,12.5,12,-13.5,-12.5,-11.5,60,-0.27,10.5,39,8465.5,4,5/10/2017 1:30
113,2,221.51,220.54,221.84,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.96,-8.32,-8.96,60,-0.263,7.04,27.52,12036.5,2.56,5/10/2017 1:30
114,3,110.94,110.39,110.9,42,40,38,0.8,1,0.4,4.6,4.2,4.2,-4.6,-4.2,-4.2,60,-0.188,2.4,13.2,2212.4,0.8,5/10/2017 1:30
115,1,222.32,221.33,222.45,60,60,55,3,3.5,4,14,13,12.5,-13.5,-12.5,-11.5,60,-0.278,11,39.5,8467,1.5,5/10/2017 1:45
116,2,222.45,221.33,222.44,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.27,7.04,27.52,12037.8,1.28,5/10/2017 1:45
117,3,111.2,110.61,111.17,42,40,38,0.8,1,0.6,4.6,4.2,4.2,-4.6,-4.2,-4.2,60,-0.196,2.6,13.4,2213,0.6,5/10/2017 1:45
118,1,217.84,216.7,217.6,60,55,55,4,3.5,4.5,13.5,12,12,-12.5,-11.5,-11,60,-0.336,12.5,37.5,8471.5,4.5,5/10/2017 2:00
119,2,217.78,216.54,217.64,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.32,8.96,-8.96,-8.32,-8.96,60,-0.257,7.04,27.52,12040.3,2.56,5/10/2017 2:00
120,3,109.01,108.47,109.02,42,38,38,0.8,1,1,4.6,4,4.2,-4.4,-3.8,-4,60,-0.231,3,12.8,2214,1,5/10/2017 2:00
121,1,217.82,216.58,217.69,60,55,55,3.5,3,4,13,12,11.5,-12.5,-11.5,-11,60,-0.299,11,37.5,8473.5,2,5/10/2017 2:15
122,2,217.76,216.68,217.83,38.4,38.4,44.8,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,12041,0.64,5/10/2017 2:15
123,3,108.63,108.03,108.66,42,38,38,0.6,0.8,1,4.4,4.2,4,-4.4,-4,-3.8,60,-0.222,2.8,12.8,2214.4,0.4,5/10/2017 2:15
124,1,218.27,217.15,218.18,60,55,55,3.5,3,4.5,13,12,11.5,-12.5,-11.5,-11,60,-0.305,11.5,37.5,8477.5,4,5/10/2017 2:30
125,2,218.04,216.83,217.9,38.4,38.4,44.8,1.92,1.92,1.92,8.96,8.32,8.96,-8.32,-8.32,-8.96,60,-0.258,7.04,26.88,12043.5,2.56,5/10/2017 2:30
126,3,109.09,108.6,109.19,42,38,36,0.8,1,0.8,4.6,4.2,4,-4.4,-4,-3.8,60,-0.218,2.8,12.8,2215.4,1,5/10/2017 2:30
127,1,219.12,217.9,219.06,60,55,55,3.5,3,4.5,13,12,12,-12.5,-11.5,-11,60,-0.307,11.5,37.5,8479.5,2,5/10/2017 2:45
128,2,219.2,217.91,219.12,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.257,7.04,27.52,12044.8,1.28,5/10/2017 2:45
129,3,109.5,108.94,109.56,42,40,40,0.8,1.2,1,4.6,4.2,4.2,-4.4,-4.2,-4.2,60,-0.241,3.2,13.4,2215.8,0.4,5/10/2017 2:45
130,1,219.67,218.47,219.56,60,55,55,3.5,3,4.5,13.5,12.5,12,-13,-12,-11,60,-0.305,11.5,38,8483,3.5,5/10/2017 3:00
131,2,219.7,218.49,219.65,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.25,6.4,27.52,12047.4,2.56,5/10/2017 3:00
132,3,109.89,109.37,109.9,42,40,38,0.6,1,0.6,4.6,4.2,4.2,-4.6,-4,-4,60,-0.196,2.4,13,2216.6,0.8,5/10/2017 3:00
